title,isbn,author,publisher,publication_year,classification_no,category,subcategory,summary
給初學者的自我理解,9789860000016,郭怡君,小天下,2008,100.688,哲學與心理,思考訓練,本書以思考訓練為主軸，介紹自我理解的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
圖解品牌經營,9789860000023,鄭志明,商周出版,2015,494.006,商業管理,行銷,本書以行銷為主軸，介紹品牌經營的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
展覽策劃完全指南,9789860000030,劉冠宇,高雄市立圖書館,2005,900.051,藝術與設計,攝影,本書以攝影為主軸，介紹展覽策劃的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
給初學者的城市故事,9789860000047,李建宏,國立公共資訊圖書館,2018,850.044,文學,台灣文學,本書以台灣文學為主軸，介紹城市故事的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
領導力：理論與實務,9789860000054,謝柏翰,遠流出版,2025,494.508,商業管理,行銷,本書以行銷為主軸，介紹領導力的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
雲端服務案例研究,9789860000061,王子涵,遠流出版,2021,540.962,資訊與電腦,軟體工程,本書以軟體工程為主軸，介紹雲端服務的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
給初學者的家族記憶,9789860000078,蔡佳穎,高雄市立圖書館,2010,850.097,文學,歐美文學,本書以歐美文學為主軸，介紹家族記憶的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
親子共讀的日常實踐,9789860000085,許柏翰,遠流出版,2023,520.453,教育與學習,教育理論,本書以教育理論為主軸，介紹親子共讀的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
給初學者的學習動機,9789860000092,許家豪,時報文化,2020,520.697,教育與學習,教育理論,本書以教育理論為主軸，介紹學習動機的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
校園案例研究,9789860000108,陳怡君,商周出版,2017,947.583,漫畫與輕小說,角色設定,本書以角色設定為主軸，介紹校園的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
從零開始學公共圖書館,9789860000115,林品妤,天下文化,2025,000.655,總類與參考,資訊檢索,本書以資訊檢索為主軸，介紹公共圖書館的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
家族記憶入門,9789860000122,蔡家豪,晨星出版,2022,850.510,文學,歐美文學,本書以歐美文學為主軸，介紹家族記憶的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
奇幻世界入門,9789860000139,王怡君,晨星出版,2022,947.812,漫畫與輕小說,動畫研究,本書以動畫研究為主軸，介紹奇幻世界的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
圖解城市散步,9789860000146,鄭冠宇,國立公共資訊圖書館,2016,700.800,歷史地理與旅遊,台灣史,本書以台灣史為主軸，介紹城市散步的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
給初學者的懸疑推理,9789860000153,謝欣怡,城邦文化,2009,850.495,文學,詩,本書以詩為主軸，介紹懸疑推理的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
動植物觀察完全指南,9789860000160,楊佳穎,小天下,2025,300.072,自然科學,地球科學,本書以地球科學為主軸，介紹動植物觀察的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
Python案例研究,9789860000177,吳怡君,商周出版,2026,540.665,資訊與電腦,人工智慧,本書以人工智慧為主軸，介紹Python的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
圖解文化資產,9789860000184,蔡家豪,三民書局,2015,700.289,歷史地理與旅遊,旅遊,本書以旅遊為主軸，介紹文化資產的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
職涯規劃的日常實踐,9789860000191,李佳穎,遠流出版,2011,494.641,商業管理,職場溝通,本書以職場溝通為主軸，介紹職涯規劃的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
家庭關係入門,9789860000207,張冠宇,麥田出版,2011,870.401,兒童與青少年,橋梁書,本書以橋梁書為主軸，介紹家庭關係的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
城市裡的專案管理,9789860000214,劉建宏,木馬文化,2009,494.500,商業管理,行銷,本書以行銷為主軸，介紹專案管理的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
民主參與與現代生活,9789860000221,郭子涵,高雄市立圖書館,2017,500.169,社會科學,社會學,本書以社會學為主軸，介紹民主參與的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
翻譯技巧案例研究,9789860000238,林家豪,遠流出版,2015,800.467,語言,語言學,本書以語言學為主軸，介紹翻譯技巧的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
領導力與現代生活,9789860000245,王志明,國立公共資訊圖書館,2011,494.236,商業管理,創業,本書以創業為主軸，介紹領導力的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
從零開始學冒險,9789860000252,黃子涵,小天下,2021,947.471,漫畫與輕小說,動畫研究,本書以動畫研究為主軸，介紹冒險的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
城市裡的友誼,9789860000269,吳怡君,麥田出版,2024,870.494,兒童與青少年,少年小說,本書以少年小說為主軸，介紹友誼的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
地方廟宇的日常實踐,9789860000276,郭建宏,麥田出版,2025,200.735,宗教與信仰,基督宗教,本書以基督宗教為主軸，介紹地方廟宇的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
社會福利：理論與實務,9789860000283,陳雅婷,天下文化,2013,500.026,社會科學,公共政策,本書以公共政策為主軸，介紹社會福利的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
城市裡的日語會話,9789860000290,蔡雅婷,三民書局,2006,800.473,語言,韓文,本書以韓文為主軸，介紹日語會話的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
城市裡的年度時事,9789860000306,李家豪,麥田出版,2024,050.015,期刊與報紙,藝文期刊,本書以藝文期刊為主軸，介紹年度時事的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
城市故事完全指南,9789860000313,吳柏翰,小天下,2013,850.059,文學,散文,本書以散文為主軸，介紹城市故事的核心概念、案例與實際應用，適合作為圖書館主題策展、閱讀推廣與讀者延伸學習之館藏資料。
